Name,ID
Zaal,1
Yogor,2
Yari,3
Winso,4
Winiba,5
Windolen,6
Waron,7
Voracas,8
Vius,9
Virone,10
Vezos,11
Veyn,12
Veron,13
Vayn,14
Vasan,15
Varit,16
Varas,17
Vanil,18
Valich,19
Valarlit,20
Tress,21
Treg,22
Torik,23
Togar,24
Thorlin,25
Thogar,26
Thish,27
Theren,28
Thauin,29
Thargo,30
Tharen,31
Thamar,32
Terix,33
Telif,34
Telar,35
Tavid,36
Tasho,37
Taras,38
Tahlis,39
Sysan,40
Syavan,41
Sviaro,42
Svar,43
Ston,44
Stenfon,45
Stardan,46
Stanid,47
Sorin,48
Sinov,49
Sinad,50
Silus,51
Sigak,52
Shorik,53
Shero,54
Shannet,55
Senten,56
Senaro,57
Selian,58
Selar,59
Sedar,60
Sarin,61
Sarici,62
Sanshin,63
Sano,64
Sandor,65
Sanar,66
Salar,67
Russh,68
Rumert,69
Rorich,70
Rones,71
Ronen,72
Rolan,73
Rogar,74
Rinan,75
Rarzar,76
Rars,77
Ranen,78
Ramosen,79
Ramar,80
Ralich,81
Ralian,82
Rabalo,83
Petas,84
Perin,85
Pere,86
Pasil,87
Pardo,88
Palik,89
Osar,90
Osando,91
Oryn,92
Olin,93
Olazar,94
Odiam,95
Nyal,96
Nich,97
Nerissar,98
Nerin,99
Nellin,100
Nedan,101
Mykeron,102
Muren,103
Mongar,104
Marton,105
Maniard,106
Mani,107
Manc,108
Manak,109
Malin,110
Malar,111
Lukovi,112
Lukis,113
Lorro,114
Loras,115
Llorinar,116
Llaris,117
Llanos,118
Linaus,119
Laras,120
Lar,121
Lanar,122
Kelin,123
Kedin,124
Kamar,125
Kalonen,126
Josto,127
Josha,128
Jorint,129
Joric,130
Joren,131
Jorar,132
Jons,133
Jonic,134
Jonfi,135
Jondi,136
Jonan,137
Jax,138
Jase,139
Jaris,140
Jangan,141
Jacaden,142
Irnaz,143
Illan,144
Hus,145
Honte,146
Hesken,147
Henir,148
Hayl,149
Hastt,150
Hasolar,151
Harth,152
Hars,153
Haric,154
Hanthu,155
Handar,156
Hanar,157
Haeran,158
Hadar,159
Gunar,160
Grinos,161
Grik,162
Grifen,163
Garus,164
Garius,165
Garin,166
Garesk,167
Garath,168
Ganyl,169
Ganar,170
Galban,171
Galani,172
Ferrido,173
Ferius,174
Fendor,175
Fellonar,176
Fedau,177
Favus,178
Favan,179
Faros,180
Farar,181
Fandar,182
Facan,183
Esarn,184
Erlidan,185
Erko,186
Erinak,187
Erik,188
Elinus,189
Elic,190
Eliar,191
Elian,192
Elasar,193
Elarin,194
Elamah,195
Einar,196
Dorin,197
Dorich,198
Daus,199
Dason,200
Darril,201
Daric,202
Danius,203
Dalen,204
Dalar,205
Daelas,206
Cusambe,207
Corus,208
Cilin,209
Cheth,210
Cevau,211
Cerian,212
Ceretel,213
Cavar,214
Cass,215
Cason,216
Caso,217
Casalor,218
Carth,219
Carst,220
Caros,221
Carike,222
Caminis,223
Cadryn,224
Buen,225
Brannon,226
Boras,227
Boneas,228
Beust,229
Berand,230
Beralli,231
Benik,232
Bengo,233
Belix,234
Belar,235
Bazar,236
Baynar,237
Barro,238
Barbarto,239
Banin,240
Banill,241
Bandan,242
Balyn,243
Balog,244
Balic,245
Balas,246
Balar,247
Baen,248
Aurin,249
Aron,250
Arogar,251
Arinik,252
Arin,253
Aren,254
Aranar,255
Anos,256
Ando,257
Ancar,258
Ampeto,259
Amar,260
Alerin,261
Aldas,262
Alasar,263
Alaril,264
Alar,265
Adius,266
Addin,267
Acanos,268
Aarall,269
